IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
154.3.32.23,10002,443,true,HKG,Asia Pacific,Hong Kong,114,14.51
47.76.189.102,2083,2083,true,HKG,Asia Pacific,Hong Kong,49,14.49
47.76.189.102,2087,2087,true,HKG,Asia Pacific,Hong Kong,42,14.02
168.63.151.56,443,443,true,HKG,Asia Pacific,Hong Kong,124,12.21
156.243.19.103,55555,443,true,HKG,Asia Pacific,Hong Kong,51,11.61
8.218.181.189,8080,8080,false,HKG,Asia Pacific,Hong Kong,47,10.46
154.194.64.242,55555,443,true,HKG,Asia Pacific,Hong Kong,40,9.34
47.76.222.57,2053,2053,true,HKG,Asia Pacific,Hong Kong,41,9.21
47.238.6.102,2086,2086,false,HKG,Asia Pacific,Hong Kong,39,8.95
47.76.222.57,8443,8443,true,HKG,Asia Pacific,Hong Kong,39,8.89
8.210.66.190,2096,2096,true,HKG,Asia Pacific,Hong Kong,94,8.83
47.238.43.79,8443,8443,true,HKG,Asia Pacific,Hong Kong,38,8.56
47.76.222.57,2083,2083,true,HKG,Asia Pacific,Hong Kong,44,8.49
8.218.181.189,8880,8880,false,HKG,Asia Pacific,Hong Kong,44,8.43
104.155.193.180,80,80,false,HKG,Asia Pacific,Hong Kong,83,8.39
47.238.6.102,8880,8880,false,HKG,Asia Pacific,Hong Kong,42,7.68
156.243.19.99,55555,443,true,HKG,Asia Pacific,Hong Kong,43,7.67
154.194.65.9,9999,443,true,HKG,Asia Pacific,Hong Kong,37,7.25
47.76.189.102,80,80,false,HKG,Asia Pacific,Hong Kong,46,7.17
154.194.64.245,9999,443,true,HKG,Asia Pacific,Hong Kong,47,7.16
47.76.189.102,2086,2086,false,HKG,Asia Pacific,Hong Kong,49,6.97
8.218.22.210,2082,2082,false,HKG,Asia Pacific,Hong Kong,35,6.95
8.217.193.25,2082,2082,false,HKG,Asia Pacific,Hong Kong,353,6.79
154.194.65.13,55555,443,true,HKG,Asia Pacific,Hong Kong,35,6.44
154.194.64.247,9999,443,true,HKG,Asia Pacific,Hong Kong,48,6.41
156.251.176.43,21806,443,true,HKG,Asia Pacific,Hong Kong,43,6.35
156.243.19.119,9999,443,true,HKG,Asia Pacific,Hong Kong,44,6.16
156.243.19.117,9999,443,true,HKG,Asia Pacific,Hong Kong,41,6.04
156.243.19.121,9999,443,true,HKG,Asia Pacific,Hong Kong,36,5.73
