IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.36.41.236,80,80,false,LAX,North America,Los Angeles,151,10.19
34.102.111.127,80,80,false,LAX,North America,Los Angeles,206,9.73
91.149.239.62,443,443,true,LAX,North America,Los Angeles,170,9.52
154.21.93.92,37956,443,true,LAX,North America,Los Angeles,156,9.25
172.247.205.171,9999,443,true,LAX,North America,Los Angeles,192,9.22
23.169.184.119,32925,443,true,LAX,North America,Los Angeles,158,9.16
149.104.32.10,9999,443,true,LAX,North America,Los Angeles,151,8.64
149.104.32.203,55555,443,true,LAX,North America,Los Angeles,173,8.20
172.247.129.59,34237,2096,true,LAX,North America,Los Angeles,200,8.15
23.224.33.64,10956,443,true,LAX,North America,Los Angeles,170,8.02
154.23.255.85,59217,443,true,LAX,North America,Los Angeles,166,7.90
23.158.136.11,33724,443,true,LAX,North America,Los Angeles,148,7.52
23.224.33.17,11442,443,true,LAX,North America,Los Angeles,208,7.40
154.17.231.85,30816,443,true,LAX,North America,Los Angeles,150,7.20
154.17.26.175,8443,443,true,LAX,North America,Los Angeles,146,7.14
154.17.227.4,22808,443,true,LAX,North America,Los Angeles,142,7.12
23.158.136.38,56725,443,true,LAX,North America,Los Angeles,147,6.91
154.17.27.8,19525,443,true,LAX,North America,Los Angeles,149,6.81
2.59.151.192,38135,443,true,LAX,North America,Los Angeles,153,6.42
34.36.183.121,80,80,false,LAX,North America,Los Angeles,210,6.40
154.17.224.140,26138,443,true,LAX,North America,Los Angeles,142,6.29
2.59.151.85,35666,443,true,LAX,North America,Los Angeles,168,6.08
2.59.151.85,48333,443,true,LAX,North America,Los Angeles,140,6.00
23.224.33.146,39258,443,true,LAX,North America,Los Angeles,177,5.87
154.17.22.88,30861,443,true,LAX,North America,Los Angeles,146,5.84
149.104.32.202,9999,443,true,LAX,North America,Los Angeles,191,5.84
154.17.25.7,50376,443,true,LAX,North America,Los Angeles,144,5.83
154.9.251.199,34237,2096,true,LAX,North America,Los Angeles,200,5.80
23.225.116.68,45853,443,true,LAX,North America,Los Angeles,170,5.73
207.60.50.24,8443,443,true,LAX,North America,Los Angeles,164,5.67
185.238.250.168,25978,443,true,LAX,North America,Los Angeles,149,5.67
154.17.30.93,443,443,true,LAX,North America,Los Angeles,144,5.61
154.17.228.123,19063,443,true,LAX,North America,Los Angeles,147,5.47
23.165.40.176,57321,443,true,LAX,North America,Los Angeles,131,5.28
154.17.231.209,41113,443,true,LAX,North America,Los Angeles,144,5.26
154.21.82.7,50008,443,true,LAX,North America,Los Angeles,148,5.25
154.23.244.23,39777,443,true,LAX,North America,Los Angeles,138,5.18
154.17.227.47,443,443,true,LAX,North America,Los Angeles,145,5.17
154.17.16.155,38548,443,true,LAX,North America,Los Angeles,147,5.07
154.17.27.80,18711,443,true,LAX,North America,Los Angeles,153,5.04
154.17.19.75,26883,443,true,LAX,North America,Los Angeles,152,4.94
154.17.230.128,51888,443,true,LAX,North America,Los Angeles,154,4.81
154.17.4.180,17288,443,true,LAX,North America,Los Angeles,145,4.79
20.33.30.36,2083,443,true,LAX,North America,Los Angeles,157,4.76
154.17.229.161,13902,443,true,LAX,North America,Los Angeles,154,4.69
154.17.226.32,62096,443,true,LAX,North America,Los Angeles,150,4.37
2.59.151.168,34237,2096,true,LAX,North America,Los Angeles,141,4.34
23.158.136.81,25864,443,true,LAX,North America,Los Angeles,146,4.27
154.17.4.191,35378,443,true,LAX,North America,Los Angeles,137,4.25
154.17.229.161,24126,443,true,LAX,North America,Los Angeles,151,4.17
154.17.2.49,26558,443,true,LAX,North America,Los Angeles,137,4.13
154.17.229.161,24757,443,true,LAX,North America,Los Angeles,146,4.00
154.17.224.225,456,443,true,LAX,North America,Los Angeles,148,3.99
23.158.136.27,18566,443,true,LAX,North America,Los Angeles,151,3.96
154.17.229.17,36342,443,true,LAX,North America,Los Angeles,140,3.88
149.104.32.203,9999,443,true,LAX,North America,Los Angeles,183,3.84
185.238.248.9,12945,443,true,LAX,North America,Los Angeles,144,3.84
154.17.231.85,24002,443,true,LAX,North America,Los Angeles,145,3.80
154.17.230.156,44999,443,true,LAX,North America,Los Angeles,149,3.76
154.17.229.171,12601,443,true,LAX,North America,Los Angeles,143,3.76
38.55.61.76,30580,443,true,LAX,North America,Los Angeles,137,3.67
154.21.89.40,11888,443,true,LAX,North America,Los Angeles,147,3.62
154.17.228.15,18478,443,true,LAX,North America,Los Angeles,149,3.58
38.49.59.64,53324,443,true,LAX,North America,Los Angeles,137,3.54
23.158.136.28,33670,443,true,LAX,North America,Los Angeles,152,3.53
154.21.85.62,22353,443,true,LAX,North America,Los Angeles,144,3.48
154.21.81.73,16295,443,true,LAX,North America,Los Angeles,142,3.33
154.17.230.212,54718,443,true,LAX,North America,Los Angeles,142,3.32
154.17.27.8,48655,443,true,LAX,North America,Los Angeles,144,3.29
154.21.94.95,18204,443,true,LAX,North America,Los Angeles,149,3.18
118.193.77.12,34237,2096,true,LAX,North America,Los Angeles,165,3.16
154.17.30.48,33221,443,true,LAX,North America,Los Angeles,141,3.11
154.29.144.83,12317,2095,false,LAX,North America,Los Angeles,204,2.95
154.21.81.59,59265,443,true,LAX,North America,Los Angeles,143,2.93
154.17.1.19,25566,443,true,LAX,North America,Los Angeles,144,2.81
154.17.10.111,14515,443,true,LAX,North America,Los Angeles,148,2.73
107.175.224.66,55684,443,true,LAX,North America,Los Angeles,157,2.66
154.17.29.48,57372,443,true,LAX,North America,Los Angeles,154,2.58
165.154.182.131,34237,2096,true,LAX,North America,Los Angeles,182,2.55
154.23.247.116,443,443,true,LAX,North America,Los Angeles,132,2.55
34.49.212.232,80,80,false,LAX,North America,Los Angeles,206,2.54
185.186.147.133,14044,443,true,LAX,North America,Los Angeles,140,2.38
149.88.88.55,24902,443,true,LAX,North America,Los Angeles,161,1.65
45.140.88.163,37258,443,true,LAX,North America,Los Angeles,137,1.64
154.23.241.9,13725,443,true,LAX,North America,Los Angeles,138,1.59
172.247.205.179,55555,443,true,LAX,North America,Los Angeles,157,1.47
172.247.205.172,55555,443,true,LAX,North America,Los Angeles,179,1.14
154.17.5.183,54403,443,true,LAX,North America,Los Angeles,156,0.86
172.247.205.189,9999,443,true,LAX,North America,Los Angeles,164,0.84
38.148.249.118,32956,443,true,LAX,North America,Los Angeles,153,0.82
2.59.151.128,33557,443,true,LAX,North America,Los Angeles,140,0.78
154.208.9.253,30727,443,true,LAX,North America,Los Angeles,172,0.73
172.247.205.178,55555,443,true,LAX,North America,Los Angeles,161,0.69
34.160.118.77,80,80,false,LAX,North America,Los Angeles,187,0.66
34.117.254.68,80,80,false,LAX,North America,Los Angeles,200,0.60
172.247.205.170,9999,443,true,LAX,North America,Los Angeles,174,0.59
2.56.255.97,34237,2096,true,LAX,North America,Los Angeles,153,0.57
103.99.115.228,47368,443,true,LAX,North America,Los Angeles,152,0.56
149.104.32.14,55555,443,true,LAX,North America,Los Angeles,145,0.53
45.12.90.25,32163,443,true,LAX,North America,Los Angeles,170,0.52
