IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.84.40.199,8443,443,true,NRT,Asia Pacific,Tokyo,98,19.96
149.62.44.233,41165,443,true,NRT,Asia Pacific,Tokyo,60,19.08
35.200.25.49,2087,443,true,NRT,Asia Pacific,Tokyo,62,11.33
185.214.103.3,8443,443,true,NRT,Asia Pacific,Tokyo,38,7.70
103.20.199.88,30002,80,false,NRT,Asia Pacific,Tokyo,38,6.57
45.94.68.215,59340,443,true,NRT,Asia Pacific,Tokyo,60,6.37
185.214.103.86,57569,443,true,ICN,Asia Pacific,Seoul,33,5.74
193.32.151.18,47682,443,true,NRT,Asia Pacific,Tokyo,53,5.37
210.87.195.122,50008,443,true,NRT,Asia Pacific,Tokyo,33,5.19
47.236.125.62,2096,2096,true,NRT,Asia Pacific,Tokyo,363,4.09
45.66.129.76,56019,443,true,NRT,Asia Pacific,Tokyo,51,3.98
8.219.153.237,2087,2087,true,NRT,Asia Pacific,Tokyo,444,3.85
147.78.246.195,30580,443,true,NRT,Asia Pacific,Tokyo,52,3.80
47.236.125.62,2052,2052,false,NRT,Asia Pacific,Tokyo,357,3.66
103.20.199.101,33003,443,true,NRT,Asia Pacific,Tokyo,40,3.48
47.236.125.62,8080,8080,false,NRT,Asia Pacific,Tokyo,385,3.47
8.219.153.237,2096,2096,true,NRT,Asia Pacific,Tokyo,448,3.32
8.219.153.237,2082,2082,false,NRT,Asia Pacific,Tokyo,451,3.25
8.219.153.237,8080,8080,false,NRT,Asia Pacific,Tokyo,439,3.18
193.32.151.115,443,443,true,NRT,Asia Pacific,Tokyo,168,3.17
8.219.153.237,8443,8443,true,NRT,Asia Pacific,Tokyo,444,3.04
47.236.125.62,2087,2087,true,NRT,Asia Pacific,Tokyo,380,2.83
43.239.249.177,16364,443,true,NRT,Asia Pacific,Tokyo,173,2.70
138.2.18.184,443,443,true,NRT,Asia Pacific,Tokyo,94,2.01
49.128.218.180,8443,443,true,NRT,Asia Pacific,Tokyo,53,1.86
47.74.4.97,443,443,true,NRT,Asia Pacific,Tokyo,144,1.62
45.143.234.226,810,443,true,NRT,Asia Pacific,Tokyo,51,1.55
23.225.64.72,25016,443,true,NRT,Asia Pacific,Tokyo,147,1.49
141.98.197.101,11665,443,true,NRT,Asia Pacific,Tokyo,170,1.48
59.187.242.236,27677,80,false,NRT,Asia Pacific,Tokyo,578,0.28
140.238.19.2,443,80,false,NRT,Asia Pacific,Tokyo,54,0.27
109.107.137.56,38782,443,true,NRT,Asia Pacific,Tokyo,57,0.26
45.60.186.91,2052,2052,false,NRT,Asia Pacific,Tokyo,51,0.23
168.138.197.97,8443,443,true,NRT,Asia Pacific,Tokyo,106,0.22
13.230.34.30,443,443,true,NRT,Asia Pacific,Tokyo,155,0.12
103.20.199.118,12999,443,true,NRT,Asia Pacific,Tokyo,40,0.02
59.187.242.236,15432,443,true,ICN,Asia Pacific,Seoul,223,0.00
45.142.166.55,22388,443,true,NRT,Asia Pacific,Tokyo,51,0.00
38.207.130.33,50045,443,true,NRT,Asia Pacific,Tokyo,51,0.00
103.75.70.171,14722,443,true,NRT,Asia Pacific,Tokyo,211,0.00
