IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.11.87.84,34237,2096,true,TPE,Asia Pacific,Taipei,227,6.44
37.128.253.69,8268,443,true,TPE,Asia Pacific,Taipei,195,6.12
37.128.253.18,34237,2096,true,TPE,Asia Pacific,Taipei,202,5.78
141.11.86.228,34237,2096,true,TPE,Asia Pacific,Taipei,190,4.92
37.128.253.196,34237,2096,true,TPE,Asia Pacific,Taipei,192,4.61
166.0.199.20,8080,443,true,TPE,Asia Pacific,Taipei,194,4.54
141.11.87.96,34237,2096,true,TPE,Asia Pacific,Taipei,195,3.40
37.128.253.131,34237,2096,true,TPE,Asia Pacific,Taipei,175,2.76
166.0.199.138,8268,443,true,TPE,Asia Pacific,Taipei,192,2.64
141.11.87.208,34237,2096,true,TPE,Asia Pacific,Taipei,182,2.47
141.11.87.188,34237,2096,true,TPE,Asia Pacific,Taipei,198,2.41
141.11.87.136,34237,2096,true,TPE,Asia Pacific,Taipei,206,2.04
37.128.253.156,34237,2096,true,TPE,Asia Pacific,Taipei,194,0.73
82.152.90.111,443,443,true,TPE,Asia Pacific,Taipei,175,0.00
23.247.139.48,30810,80,false,TPE,Asia Pacific,Taipei,41,0.00
103.20.223.93,30810,80,false,TPE,Asia Pacific,Taipei,50,0.00
45.159.48.14,30810,80,false,TPE,Asia Pacific,Taipei,55,0.00
156.251.183.241,30810,80,false,TPE,Asia Pacific,Taipei,40,0.00
